Jahr,Hydrologischer Winter in l/m²,Hydrologischer Sommer in l/m²,gleitende 11-Jahressumme des hydrologischen Sommers in l/m²,gleitende 11-Jahressumme des hydrologischen Winters in l/m²
1994,-503.03,432.70,402.26,-360.30
1995,-518.64,332.40,397.85,-373.22
1996,-143.33,316.90,410.59,-370.88
1997,-297.81,419.90,426.23,-386.97
1998,-381.78,569.00,424.50,-373.15
1999,-371.63,255.10,416.28,-372.07
2000,-474.04,345.00,414.71,-355.83
2001,-302.67,577.60,418.00,-339.37
2002,-480.86,569.90,445.17,-362.10
2003,-276.38,298.70,445.60,-377.24
2004,-342.55,461.84,428.30,-366.96
2005,-324.42,415.43,446.81,-368.27
2006,-337.57,368.66,456.80,-351.68
2007,-393.44,615.69,440.49,-356.60
2008,-464.29,424.65,429.17,-337.98
2009,-268.67,378.73,434.90,-340.25
2010,-386.06,458.75,431.34,-344.63
2011,-291.54,454.89,425.02,-354.48
2012,-356.78,398.13,441.95,-354.82
2013,-276.03,445.38,403.68,-353.97
2014,-301.41,361.77,403.83,-339.41
2015,-390.73,422.69,398.82,-350.89
2016,-432.75,345.93,398.21,-340.36
2017,-341.36,554.87,x,x
2018,-384.10,194.65,x,x
2019,-304.06,426.37,x,x
2020,-394.96,323.57,x,x
2021,-270.20,452.10,x,x
